"filename", "language", "Java", "Java Properties", "XML", "SQL", "Batch", "YAML", "comment", "blank", "total"
"c:\Users\fani6\rollinter\RollinterServer\.github\workflows\master_rollinter.yml", "YAML", 0, 0, 0, 0, 0, 41, 2, 11, 54
"c:\Users\fani6\rollinter\RollinterServer\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\fani6\rollinter\RollinterServer\docs\rollinter.sql", "SQL", 0, 0, 0, 468, 0, 0, 118, 63, 649
"c:\Users\fani6\rollinter\RollinterServer\mvnw.cmd", "Batch", 0, 0, 0, 0, 102, 0, 51, 36, 189
"c:\Users\fani6\rollinter\RollinterServer\pom.xml", "XML", 0, 0, 84, 0, 0, 0, 2, 5, 91
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\RollinterApplication.java", "Java", 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\Chat_TeamController.java", "Java", 53, 0, 0, 0, 0, 0, 9, 15, 77
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\CommentController.java", "Java", 51, 0, 0, 0, 0, 0, 9, 17, 77
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\CoordinatesController.java", "Java", 50, 0, 0, 0, 0, 0, 0, 16, 66
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\ReactionController.java", "Java", 50, 0, 0, 0, 0, 0, 4, 16, 70
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\RouteController.java", "Java", 61, 0, 0, 0, 0, 0, 0, 17, 78
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\SessionController.java", "Java", 25, 0, 0, 0, 0, 0, 9, 13, 47
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\TeamController.java", "Java", 65, 0, 0, 0, 0, 0, 0, 19, 84
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\UserController.java", "Java", 65, 0, 0, 0, 0, 0, 0, 15, 80
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\api\UsertypeController.java", "Java", 41, 0, 0, 0, 0, 0, 0, 14, 55
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\bean\ErrorResponseBean.java", "Java", 38, 0, 0, 0, 0, 0, 0, 14, 52
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\bean\UserBean.java", "Java", 22, 0, 0, 0, 0, 0, 0, 11, 33
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\Chat_TeamEntity.java", "Java", 61, 0, 0, 0, 0, 0, 0, 26, 87
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\CommentEntity.java", "Java", 61, 0, 0, 0, 0, 0, 0, 24, 85
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\CoordinatesEntity.java", "Java", 56, 0, 0, 0, 0, 0, 0, 18, 74
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\ReactionEntity.java", "Java", 52, 0, 0, 0, 0, 0, 0, 18, 70
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\RouteEntity.java", "Java", 95, 0, 0, 0, 0, 0, 0, 33, 128
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\TeamEntity.java", "Java", 81, 0, 0, 0, 0, 0, 0, 35, 116
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\UserEntity.java", "Java", 150, 0, 0, 0, 0, 0, 0, 57, 207
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\entity\UsertypeEntity.java", "Java", 50, 0, 0, 0, 0, 0, 0, 14, 64
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\AppExceptionHandler.java", "Java", 41, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\CannotPerformOperationException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\JWTException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\ResourceNotFoundException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\ResourceNotModifiedException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\UnauthorizedException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\exception\ValidationException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\filter\CORSFilter.java", "Java", 31, 0, 0, 0, 0, 0, 0, 17, 48
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\filter\JWTFilter.java", "Java", 43, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\helper\JwtHelper.java", "Java", 44, 0, 0, 0, 0, 0, 0, 13, 57
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\helper\RandomHelper.java", "Java", 64, 0, 0, 0, 0, 0, 0, 18, 82
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\helper\UsertypeHelper.java", "Java", 5, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\helper\ValidationHelper.java", "Java", 91, 0, 0, 0, 0, 0, 0, 25, 116
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\Chat_TeamRepository.java", "Java", 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\CommentRepository.java", "Java", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\CoordinatesRepository.java", "Java", 11, 0, 0, 0, 0, 0, 0, 9, 20
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\ReactionRepository.java", "Java", 19, 0, 0, 0, 0, 0, 0, 18, 37
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\RouteRepository.java", "Java", 16, 0, 0, 0, 0, 0, 0, 13, 29
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\TeamRepository.java", "Java", 17, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\UserRepository.java", "Java", 22, 0, 0, 0, 0, 0, 0, 20, 42
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\UsertypeRepository.java", "Java", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\AuthService.java", "Java", 130, 0, 0, 0, 0, 0, 0, 18, 148
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\Chat_TeamService.java", "Java", 113, 0, 0, 0, 0, 0, 8, 37, 158
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\CommentService.java", "Java", 119, 0, 0, 0, 0, 0, 23, 40, 182
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\CoordinatesService.java", "Java", 84, 0, 0, 0, 0, 0, 11, 45, 140
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\ReactionService.java", "Java", 131, 0, 0, 0, 0, 0, 17, 35, 183
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\RouteService.java", "Java", 138, 0, 0, 0, 0, 0, 3, 41, 182
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\TeamService.java", "Java", 185, 0, 0, 0, 0, 0, 4, 52, 241
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\UserService.java", "Java", 242, 0, 0, 0, 0, 0, 3, 57, 302
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\UsertypeService.java", "Java", 63, 0, 0, 0, 0, 0, 2, 17, 82
"c:\Users\fani6\rollinter\RollinterServer\src\main\resources\application.properties", "Java Properties", 0, 18, 0, 0, 0, 0, 5, 6, 29
"c:\Users\fani6\rollinter\RollinterServer\src\test\java\net\ausiasmarch\rollinter\RollinterApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 2837, 20, 84, 468, 102, 41, 280, 1097, 4929